state,year,fips,fatalityrate,sb_usage,speed65,speed70,drinkage21,ba08,income,age,primary,secondary
AK,1983,2,0.044669446,,0,0,1,0,17973,28.234966,0,0
AK,1984,2,0.037336305,,0,0,1,0,18093,28.343542,0,0
AK,1985,2,0.033072915,,0,0,1,0,18925,28.372816,0,0
AK,1986,2,0.025199601,,0,0,1,0,18466,28.396652,0,0
AK,1987,2,0.01948718,,0,0,1,0,18021,28.453251,0,0
AK,1988,2,0.02525384,,0,0,1,0,18447,28.851419,0,0
AK,1989,2,0.021610497,,0,0,1,0,19970,29.148954,0,0
AK,1990,2,0.024629304,0.44999999,0,0,1,0,21073,29.586285,0,0
AK,1991,2,0.025118129,0.66000003,0,0,1,0,21496,29.827711,0,1
AK,1992,2,0.028117677,0.66000003,1,0,1,0,22073,30.210697,0,1
AK,1993,2,0.030117407,0.69,1,0,1,0,22711,30.464386,0,1
AK,1994,2,0.020481927,0.69,1,0,1,0,23417,30.756571,0,1
AK,1995,2,0.021101139,0.69,1,0,1,0,23971,31.178596,0,1
AK,1996,2,0.019684082,0.69,1,0,1,0,24310,31.445354,0,1
AK,1997,2,0.017551858,0.69,1,0,1,0,24969,31.601475,0,1
AL,1983,1,0.029969065,,0,0,0,0,9505,34.200645,0,0
AL,1984,1,0.028275842,0.13,0,0,0,0,10417,34.421631,0,0
AL,1985,1,0.025134649,0.17,0,0,1,0,11133,34.60257,0,0
AL,1986,1,0.031791311,0.28999999,0,0,1,0,11736,34.760674,0,0
AL,1987,1,0.029685246,0.20999999,1,0,1,0,12394,34.955658,0,0
AL,1988,1,0.025803851,0.28999999,1,0,1,0,13288,35.136955,0,0
AL,1989,1,0.025242243,0.38,1,0,1,0,14266,35.327858,0,0
AL,1990,1,0.026471769,0.44,1,0,1,0,15213,35.622925,0,0
AL,1991,1,0.025999442,0.47,1,0,1,0,15895,35.688736,0,0
AL,1992,1,0.02252961,0.57999998,1,0,1,0,16817,35.832619,0,1
AL,1993,1,0.022054629,0.55000001,1,0,1,0,17398,35.948254,0,1
AL,1994,1,0.022121906,0.55000001,1,0,1,0,18163,36.09201,0,1
AL,1995,1,0.022003634,0.51999998,1,1,1,1,19041,36.205746,0,1
AL,1996,1,0.022281414,0.54000002,1,1,1,1,19838,36.385132,0,1
AL,1997,1,0.022297878,0.51999998,1,1,1,1,20672,36.500721,0,1
AR,1983,5,0.033385281,,0,0,1,0,9267,35.422138,0,0
AR,1984,5,0.031586546,,0,0,1,0,10263,35.563965,0,0
AR,1985,5,0.031206172,,0,0,1,0,10919,35.691914,0,0
AR,1986,5,0.034349188,0.198,0,0,1,0,11409,35.867268,0,0
AR,1987,5,0.034906588,,1,0,1,0,11842,36.008133,0,0
AR,1988,5,0.031739425,0.301,1,0,1,0,12637,36.143867,0,0
AR,1989,5,0.031693935,,1,0,1,0,13353,36.292084,0,0
AR,1990,5,0.028746847,0.34,1,0,1,0,14025,36.425682,0,0
AR,1991,5,0.027719522,0.51999998,1,0,1,0,14766,36.466316,0,1
AR,1992,5,0.0254755,0.55000001,1,0,1,0,15807,36.505699,0,1
AR,1993,5,0.024296729,0.55000001,1,0,1,0,16380,36.592575,0,1
AR,1994,5,0.024410775,0.50999999,1,0,1,0,17090,36.622391,0,1
AR,1995,5,0.023674633,0.50999999,1,0,1,0,17934,36.62849,0,1
AR,1996,5,0.022090517,0.47999999,1,0,1,0,18808,36.665237,0,1
AR,1997,5,0.023450824,0.47999999,1,0,1,0,19595,36.817577,0,1
AZ,1983,4,0.034419458,,0,0,0,0,11277,34.11422,0,0
AZ,1984,4,0.042157862,,0,0,1,0,12375,34.24707,0,0
AZ,1985,4,0.041380908,,0,0,1,0,13280,34.33136,0,0
AZ,1986,4,0.044429738,,0,0,1,0,13980,34.475342,0,0
AZ,1987,4,0.029594377,,1,0,1,0,14631,34.543026,0,0
AZ,1988,4,0.027564459,,1,0,1,0,15246,34.656132,0,0
AZ,1989,4,0.025247013,,1,0,1,0,15919,34.704109,0,0
AZ,1990,4,0.024509251,0.55000001,1,0,1,0,16608,34.885624,0,0
AZ,1991,4,0.023361677,0.64999998,1,0,1,0,16971,35.004906,0,1
AZ,1992,4,0.023083288,0.73000002,1,0,1,0,17583,35.192467,0,1
AZ,1993,4,0.020459769,0.73000002,1,0,1,0,18270,35.28326,0,1
AZ,1994,4,0.023314591,0.60000002,1,0,1,0,19127,35.495934,0,1
AZ,1995,4,0.026101429,0.60000002,1,1,1,0,20078,35.494862,0,1
AZ,1996,4,0.023597559,0.56,1,1,1,0,21071,35.552433,0,1
AZ,1997,4,0.021866594,0.63,1,1,1,0,21998,35.700436,0,1
CA,1983,6,0.025036681,,0,0,1,0,14258,33.737457,0,0
CA,1984,6,0.025542265,,0,0,1,0,15593,33.784428,0,0
CA,1985,6,0.023892101,0.25799999,0,0,1,0,16523,33.801826,0,0
CA,1986,6,0.024442449,0.45430002,0,0,1,0,17255,33.811142,0,1
CA,1987,6,0.02432159,0.48099998,1,0,1,0,18175,33.822163,0,1
CA,1988,6,0.02232019,0.50849998,1,0,1,0,19263,33.803806,0,1
CA,1989,6,0.021520426,0.53299999,1,0,1,0,20226,33.759209,0,1
CA,1990,6,0.02005206,0.57099998,1,0,1,1,21363,33.836723,0,1
CA,1991,6,0.018172232,0.59349996,1,0,1,1,21491,33.798492,0,1
CA,1992,6,0.015966604,0.66600001,1,0,1,1,22191,33.899582,0,1
CA,1993,6,0.015630161,0.81300002,1,0,1,1,22430,33.982059,0,1
CA,1994,6,0.015562085,0.82699996,1,0,1,1,22953,34.054005,0,1
CA,1995,6,0.015168017,0.81699997,1,1,1,1,23983,34.177372,0,1
CA,1996,6,0.014346702,0.84500003,1,1,1,1,25142,34.294331,0,1
CA,1997,6,0.012912623,0.852,1,1,1,1,26314,34.48209,0,1
CO,1983,8,0.026794974,,0,0,0,0,13460,32.609226,0,0
CO,1984,8,0.024727508,,0,0,0,0,14597,32.79044,0,0
CO,1985,8,0.022144878,,0,0,0,0,15224,32.945457,0,0
CO,1986,8,0.022856493,,0,0,0,0,15571,33.115364,0,0
CO,1987,8,0.021914862,,1,0,1,0,16147,33.291237,0,1
CO,1988,8,0.017964937,,1,0,1,0,16985,33.521919,0,1
CO,1989,8,0.019110128,,1,0,1,0,18110,33.773643,0,1
CO,1990,8,0.02001619,0.5,1,0,1,0,19290,34.018829,0,1
CO,1991,8,0.0195718,0.50999999,1,0,1,0,20099,34.176773,0,1
CO,1992,8,0.018045425,0.5,1,0,1,0,21005,34.346352,0,1
CO,1993,8,0.017085396,0.52999997,1,0,1,0,22117,34.55241,0,1
CO,1994,8,0.017386144,0.54000002,1,0,1,0,23019,34.784157,0,1
CO,1995,8,0.018398084,0.56,1,0,1,0,24304,34.989418,0,1
CO,1996,8,0.017072024,0.56,1,0,1,0,25627,35.191387,0,1
CO,1997,8,0.016240131,0.58999997,1,0,1,0,27015,35.319588,0,1
CT,1983,9,0.021231217,,0,0,0,0,15620,36.034252,0,0
CT,1984,9,0.0222528,,0,0,0,0,17360,36.191238,0,0
CT,1985,9,0.020223908,,0,0,1,0,18531,36.30098,0,0
CT,1986,9,0.018916558,,0,0,1,0,19815,36.355385,1,0
CT,1987,9,0.016769374,,0,0,1,0,21588,36.451347,1,0
CT,1988,9,0.018571099,,0,0,1,0,23699,36.501705,1,0
CT,1989,9,0.015506244,,0,0,1,0,25407,36.574379,1,0
CT,1990,9,0.014637114,0.58999997,0,0,1,0,26453,36.770096,1,0
